feature,importance,mean,std,min,max
t040_y_mean,0.0019113341801105979,0.5103943367586081,0.3664189163961799,0.0,1.0
t054_x_max,0.0018971716949258176,0.4275774622699654,0.30921122504387194,0.0,1.0
t032_x_max,0.0018930526704442723,0.6249549209140242,0.3092775654356594,0.0,1.0
t056_x_max,0.0018484480331256157,0.33358709749940085,0.3048754501738052,0.0,1.0
t031_x_min,0.001840352909737901,0.6253450198778029,0.3165437794475505,0.0,1.0
t055_x_min,0.0018369336777441323,0.38245345734994846,0.30668892663388503,0.0,1.0
t034_x_min,0.0018079879768061464,0.6248829469622754,0.29804439064404814,0.0,1.0
t047_y_mean,0.0017964672555770968,0.5675312936248488,0.3900509591546572,0.0,1.0
t008_x_mean,0.0017744344833382833,0.538556933186696,0.3503300453994857,0.0,1.0
t040_stroke_progress,0.0017659059406284893,1.796693350748712,0.6354084907648079,0.0,3.6366703510284415
t023_x_max,0.00175909228322157,0.5992213273317037,0.33543627659374314,0.0,1.0
t051_x_min,0.0017484355353168013,0.5443971147426808,0.30021260037111575,0.0,1.0
t005_y_mean,0.0017427189296344422,0.17986206258637868,0.22190061174204287,0.0,1.0
t025_x_mean,0.0017382932577266704,0.6100824728585869,0.33416446130061567,0.0,1.0
t052_x_mean,0.0017343672113723438,0.5096634956388418,0.30446659714217683,0.0,1.0
t052_cumulative_distance,0.0017165960315885232,2.24491202992747,0.6595950531080229,0.5870338082313538,4.630758762359619
t033_stroke_progress,0.001706237364751185,1.5038084075159723,0.5978660856975273,0.0,3.5465924739837646
t005_y_max,0.0017002087153982137,0.1798620621355592,0.22190061137673464,0.0,1.0
t039_x_max,0.0016966120099301248,0.6173063518791144,0.29566770732823017,0.0,1.0
t027_x_max,0.0016723196616568931,0.6196626291955373,0.33100951692645003,0.0,1.0
t055_x_max,0.0016712885160932037,0.38245345734994846,0.30668892663388503,0.0,1.0
t043_x_mean,0.001665925612441637,0.6245810643788353,0.3038972867777818,0.0,1.0
t003_x_max,0.0016608088280375636,0.5147949996170591,0.3574330654175931,0.0,1.0
t057_x_min,0.0016579405891519496,0.27669758223130764,0.31798394543116354,0.0,1.0
t007_x_min,0.0016315129393995092,0.5340578892732046,0.3512972620756352,0.0,1.0
t027_stroke_length,0.0016281037538297123,1.2702098047915618,0.6141934307461139,0.0,2.739521026611328
t036_x_max,0.0016083805271211535,0.6198927080759637,0.29406830643277787,0.0,1.0
t037_x_mean,0.0015919675727852976,0.6202164619886483,0.2917966450769647,0.0,1.0
t043_y_min,0.0015765710194164762,0.5365005082373815,0.3751732613290049,0.0,1.0
t035_x_mean,0.0015738044093615733,0.6226016339827403,0.29592490558938467,0.0,1.0
t051_x_mean,0.001570262061364783,0.5443971140176592,0.3002125989237489,0.0,1.0
t044_y_mean,0.0015497010013781345,0.5428963982276581,0.37968748325282736,0.0,1.0
t054_x_mean,0.0015344573666863492,0.4275774609891186,0.30921122311313226,0.0,1.0
t030_x_mean,0.0015210556185921347,0.6311811086128046,0.3183166172487436,0.0,1.0
t005_x_mean,0.0015142045500364978,0.5229517284969973,0.35451456037092205,0.0,1.0
t054_cumulative_distance,0.0015139739976154178,2.3442893751114013,0.677138550756727,0.8460401296615601,4.672733783721924
t053_cumulative_distance,0.00149984580804071,2.293787777898796,0.6690761526077407,0.5870339274406433,4.630758762359619
t050_x_mean,0.0014907210636082456,0.570229871951756,0.3008017240965267,0.0,1.0
t050_x_min,0.0014655058452988832,0.5702298726723252,0.3008017257185473,0.0,1.0
t018_y_max,0.0014592174332381672,0.38669428492625396,0.37847459605925393,0.0,1.0
t002_x_min,0.001458887153891263,0.5141802362318474,0.3589982919346051,0.0,1.0
t043_y_max,0.001456450931494993,0.5365005082373815,0.3751732613290049,0.0,1.0
t050_cumulative_distance,0.0014522861669224402,2.160495619374917,0.6451577603330304,0.5487945079803467,4.366483688354492
t023_x_mean,0.0014477173212877887,0.599221326234153,0.33543627640278856,0.0,1.0
t020_y_min,0.0014428749777904586,0.3685289910107673,0.3727210515410256,0.0,1.0
t038_x_min,0.0014315863142179406,0.6175177831432793,0.29262841801629424,0.0,1.0
t004_x_mean,0.0014220342558659263,0.5171609230881252,0.3565449039203713,0.0,1.0
t056_x_min,0.001417231664348863,0.33358709749940085,0.3048754501738052,0.0,1.0
t024_x_min,0.001417010349957594,0.6049722752096021,0.33546216177156596,0.0,1.0
t026_x_min,0.0014082646250670185,0.6138061668538299,0.3338578230115224,0.0,1.0
t043_x_min,0.0014003013368071885,0.6245810654630284,0.30389728783435194,0.0,1.0
t052_stroke_progress,0.0013926342422743163,2.24491202992747,0.6595950531080229,0.5870338082313538,4.630758762359619
t052_x_min,0.0013904674940363776,0.5096634970206129,0.3044665993092318,0.0,1.0
t058_x_max,0.0013901589034135508,0.24897227419848253,0.3196337680280246,0.0,1.0
t033_stroke_length,0.0013808746089354076,1.5038084075159723,0.5978660856975273,0.0,3.5465924739837646
t027_cumulative_distance,0.0013713631951820808,1.2702098047915618,0.6141934307461139,0.0,2.739521026611328
t037_x_max,0.0013511445354561398,0.6202164631129142,0.2917966460859598,0.0,1.0
t025_x_max,0.0013458447474857817,0.610082472644494,0.33416446158786584,0.0,1.0
t032_cumulative_distance,0.0013218186295641614,1.4634696553554838,0.596994287771195,0.0,3.546592235565185
t051_x_max,0.001320992996046292,0.5443971147426808,0.30021260037111575,0.0,1.0
t037_stroke_length,0.0013200230301295792,1.6802998650603647,0.6128740698695382,0.0,3.5465924739837646
t049_x_mean,0.0013170262633595657,0.593277889286795,0.30231770001218095,0.0,1.0
t057_stroke_length,0.0013143946493333694,2.528871604740857,0.6792274443509829,1.0,4.793737888336182
t024_x_mean,0.0013143633151983132,0.6049722756945576,0.3354621628708771,0.0,1.0
t031_x_mean,0.0013059399266074777,0.6253450176352079,0.31654377747776347,0.0,1.0
t008_x_max,0.001305181780325746,0.5385569346812646,0.3503300462305477,0.0,1.0
t041_cumulative_distance,0.0012978487442582105,1.841646093216194,0.6354473223093906,0.0,3.785810232162476
t030_stroke_length,0.0012963439101974005,1.3891134401621321,0.59029986789432,0.0,3.546592235565185
t042_x_mean,0.001296062047550703,0.6220158758829255,0.3017864346371415,0.0,1.0
t034_x_mean,0.0012915920843841343,0.6248829475860018,0.29804439144279105,0.0,1.0
t041_x_max,0.0012732035591571829,0.6197131719328909,0.30093607770968267,0.0,1.0
t031_x_max,0.0012728340725468926,0.6253450198778029,0.3165437794475505,0.0,1.0
t057_x_mean,0.0012449045618774784,0.2766975806350727,0.31798394355237386,0.0,1.0
t034_stroke_length,0.0012443117666949477,1.5469129348693609,0.6012713983425061,0.0,3.5465924739837646
t030_y_min,0.0012376689319471973,0.40168679862958473,0.35905088791391176,0.0,1.0
t040_x_max,0.0012371476049800917,0.6167610719117272,0.2976847964998002,0.0,1.0
t046_cumulative_distance,0.0012322390919715016,2.0170146844539034,0.638830837221483,0.1623389422893524,4.032656669616699
t047_x_mean,0.0012203152704277982,0.6210988414240073,0.3037192253328137,0.0,1.0
t038_stroke_progress,0.0011970263339198964,1.7242153487124887,0.6148444594676972,0.0,3.5465924739837646
t002_y_max,0.00119593956072676,0.15559797789539725,0.20424428441066572,0.0,1.0
t059_x_mean,0.0011916219818173704,0.1659844718906895,0.3172072520215041,0.0,1.0
t020_y_max,0.0011789551787125506,0.3685289910107673,0.3727210515410256,0.0,1.0
t010_x_mean,0.0011764824515276908,0.5459345198392245,0.34565124773104716,0.0,1.0
