feature,importance
t009_delta_s,0.000287947061518506
t029_active_points,0.000285246243784872
t021_delta_s,0.00027273667707541395
t041_delta_s,0.0002710558265563665
t027_x,0.00026705129694143366
t047_angle,0.0002614550011188658
t004_delta_s,0.0002347567688775107
t042_vy,0.00023381418633119182
t026_delta_s,0.00022053150763352437
t040_delta_s,0.00020827739422863057
t040_vx,0.0002051858412445165
t045_vy,0.00020432810985630863
t005_delta_s,0.00020106200540587755
t049_x,0.00019546691254660652
t014_angle,0.00018775403356848352
t048_y,0.00018617310433196753
t044_vx,0.00018393475602932632
t047_vx,0.00017487103243703908
t026_active_points,0.00016988297046544569
t035_vy,0.00016659013901137616
t048_vy,0.00016655530919698728
t042_vx,0.00016121476502388413
t047_active_points,0.00016053530862821563
t040_vy,0.00015514510358473094
t015_x,0.00015139945240196157
t033_active_points,0.00015008064498594006
t046_pressure,0.0001404511219301021
t046_vx,0.00012025091809620289
t029_pressure,0.00011828337401546573
t049_pressure,0.00011541394774316392
t047_pressure,9.889823594213043e-05
t021_active_points,9.60138259909427e-05
t048_vx,9.34621876759435e-05
t002_delta_s,8.828082220754345e-05
t039_vy,8.62138328296199e-05
t025_delta_s,7.587189889100283e-05
t041_vx,7.265867394808597e-05
t044_vy,6.310762463032819e-05
t027_pressure,6.294617731567879e-05
t025_pressure,6.127757618589986e-05
t041_vy,6.060713976008093e-05
t043_vy,6.028838429599301e-05
t028_active_points,4.0081478210038596e-05
t049_vx,3.152440562166126e-05
t045_vx,3.141447052581684e-05
t023_pressure,3.124770237482539e-05
t027_active_points,3.0750552857241814e-05
t048_pressure,2.5620086147539665e-05
t046_active_points,2.5620086147539665e-05
t030_pressure,2.40003840061441e-05
t026_pressure,0.0
t049_active_points,0.0
t000_delta_s,0.0
t000_active_points,0.0
t000_vy,0.0
t000_angle,0.0
t046_vy,0.0
t001_active_points,0.0
t000_pressure,0.0
t001_pressure,0.0
t028_pressure,0.0
t007_active_points,0.0
t006_pressure,0.0
t021_pressure,0.0
t020_active_points,0.0
t025_active_points,0.0
t023_active_points,0.0
t022_active_points,0.0
t006_active_points,0.0
t007_pressure,0.0
t019_pressure,0.0
t018_pressure,0.0
t016_pressure,0.0
t020_pressure,0.0
t024_active_points,0.0
t024_pressure,0.0
t017_active_points,0.0
t017_pressure,0.0
t015_pressure,0.0
t015_active_points,0.0
t004_pressure,0.0
t004_active_points,0.0
t016_active_points,0.0
t022_pressure,0.0
t019_active_points,0.0
t018_active_points,0.0
t009_pressure,0.0
t009_active_points,0.0
t008_active_points,0.0
t008_pressure,0.0
t013_pressure,0.0
t013_active_points,0.0
t010_active_points,0.0
t010_pressure,0.0
t011_active_points,0.0
t011_pressure,0.0
t014_active_points,0.0
t014_pressure,0.0
t005_active_points,0.0
t005_pressure,0.0
t002_pressure,0.0
t012_active_points,0.0
t012_pressure,0.0
t002_active_points,0.0
t003_pressure,0.0
t003_active_points,0.0
t000_vx,0.0
t047_vy,0.0
